tamaño,tiempo
100,0.0224
500,0.1078
900,0.2178
1300,0.3238
1700,0.4225
2100,0.5275
2500,0.6444
2900,0.7365
3300,0.8679
3700,0.9343
4100,1.0232
4500,1.2024
4900,1.2349
5300,1.3738
5700,1.4952
6100,1.5972
6500,1.7280
6900,1.8851
7300,1.8469
7700,2.0248
8100,2.3515
8500,2.1670
8900,2.4171
9300,2.5348
9700,2.7621
100,0.0702
500,0.3117
900,0.5400
1300,0.7681
1700,0.9840
2100,1.3184
2500,1.4528
2900,1.8607
3300,1.8485
3700,2.1040
4100,2.3761
4500,2.5375
4900,2.8385
5300,3.0564
5700,3.3435
6100,3.7262
6500,3.7406
6900,4.8166
7300,4.2647
7700,4.4684
8100,4.8324
8500,5.4441
8900,6.0868
9300,5.8894
9700,5.9883
